input_file,buffer_size,type,read_size,bandwidth
/users/ak5/read.bin,1024,read,7430.5516MB,1857.64MB/s
/users/ak5/read.bin,4096,read,10915.7130MB,2728.93MB/s
/users/ak5/read.bin,16384,read,12124.5041MB,3031.13MB/s
/users/ak5/read.bin,65536,read,13101.2362MB,3275.31MB/s
/users/ak5/read.bin,262144,read,12962.7587MB,3240.69MB/s
/users/ak5/read.bin,1048576,read,13565.1656MB,3391.29MB/s
