input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,4096,32,1,write,4428.1364MB,1107.03MB/s
/users/ak5/read.bin,4096,32,4,write,5504.4997MB,1376.12MB/s
/users/ak5/read.bin,4096,32,16,write,5821.6940MB,1455.06MB/s
/users/ak5/read.bin,4096,32,64,write,5603.5901MB,1400.55MB/s
/users/ak5/read.bin,4096,32,256,write,5301.6003MB,1317.82MB/s
/users/ak5/read.bin,4096,32,1024,write,5637.1446MB,1389.49MB/s
/users/ak5/read.bin,4096,64,1,write,4460.1180MB,1115.03MB/s
/users/ak5/read.bin,4096,64,4,write,5811.2082MB,1452.80MB/s
/users/ak5/read.bin,4096,64,16,write,5725.2250MB,1430.23MB/s
/users/ak5/read.bin,4096,64,64,write,5301.6003MB,1322.09MB/s
/users/ak5/read.bin,4096,64,256,write,5234.4914MB,1303.41MB/s
/users/ak5/read.bin,4096,64,1024,write,5368.7091MB,1331.53MB/s
/users/ak5/read.bin,4096,128,1,write,4591.1900MB,1147.80MB/s
/users/ak5/read.bin,4096,128,4,write,4349.4932MB,1087.37MB/s
/users/ak5/read.bin,4096,128,16,write,5486.1496MB,1370.51MB/s
/users/ak5/read.bin,4096,128,64,write,5670.6990MB,1409.57MB/s
/users/ak5/read.bin,4096,128,256,write,5368.7091MB,1327.90MB/s
/users/ak5/read.bin,4096,128,1024,write,5368.7091MB,1331.53MB/s
/users/ak5/read.bin,4096,256,1,write,4643.0945MB,1160.77MB/s
/users/ak5/read.bin,4096,256,4,write,4269.8015MB,1067.18MB/s
/users/ak5/read.bin,4096,256,16,write,4915.7243MB,1224.95MB/s
/users/ak5/read.bin,4096,256,64,write,5771.3623MB,1441.76MB/s
/users/ak5/read.bin,4096,256,256,write,5368.7091MB,1329.55MB/s
/users/ak5/read.bin,4096,256,1024,write,6442.4509MB,1171.99MB/s
/users/ak5/read.bin,16384,1,1,write,3689.6113MB,922.40MB/s
/users/ak5/read.bin,16384,1,4,write,5857.2145MB,1464.30MB/s
/users/ak5/read.bin,16384,1,16,write,5474.6153MB,1368.65MB/s
/users/ak5/read.bin,16384,1,64,write,6060.7693MB,1515.19MB/s
/users/ak5/read.bin,16384,1,256,write,5616.1731MB,1397.75MB/s
/users/ak5/read.bin,16384,1,1024,write,6375.3421MB,1585.51MB/s
/users/ak5/read.bin,16384,4,1,write,5518.0657MB,1379.52MB/s
/users/ak5/read.bin,16384,4,4,write,5529.4034MB,1382.35MB/s
/users/ak5/read.bin,16384,4,16,write,5908.7258MB,1477.18MB/s
