input_file,buffer_size,num_concurrent,vector_len,type,read_size,bandwidth
/users/ak5/read.bin,4096,32,1,read,13959.2991MB,3489.82MB/s
/users/ak5/read.bin,4096,32,4,read,24294.4573MB,6073.61MB/s
/users/ak5/read.bin,4096,32,16,read,31125.9300MB,7781.48MB/s
/users/ak5/read.bin,4096,32,64,read,33353.1054MB,8338.28MB/s
/users/ak5/read.bin,4096,32,256,read,25467.8139MB,6363.77MB/s
/users/ak5/read.bin,4096,32,1024,read,25904.0215MB,6448.60MB/s
/users/ak5/read.bin,4096,64,1,read,13912.5064MB,3478.13MB/s
/users/ak5/read.bin,4096,64,4,read,24227.3485MB,6056.84MB/s
/users/ak5/read.bin,4096,64,16,read,31008.4895MB,7752.12MB/s
/users/ak5/read.bin,4096,64,64,read,27900.5102MB,6973.38MB/s
/users/ak5/read.bin,4096,64,256,read,25568.4772MB,6377.77MB/s
/users/ak5/read.bin,4096,64,1024,read,26038.2392MB,6461.10MB/s
/users/ak5/read.bin,4096,128,1,read,13795.0659MB,3448.77MB/s
/users/ak5/read.bin,4096,128,4,read,24119.3452MB,6029.84MB/s
/users/ak5/read.bin,4096,128,16,read,30651.9736MB,7662.99MB/s
/users/ak5/read.bin,4096,128,64,read,24662.5075MB,6165.63MB/s
/users/ak5/read.bin,4096,128,256,read,25635.5860MB,6405.69MB/s
/users/ak5/read.bin,4096,128,1024,read,26306.6747MB,6463.56MB/s
/users/ak5/read.bin,4096,256,1,read,13787.7258MB,3446.93MB/s
/users/ak5/read.bin,4096,256,4,read,24083.6936MB,6020.92MB/s
/users/ak5/read.bin,4096,256,16,read,25367.1506MB,6341.79MB/s
/users/ak5/read.bin,4096,256,64,read,24897.3885MB,6213.47MB/s
/users/ak5/read.bin,4096,256,256,read,25769.8038MB,6426.38MB/s
/users/ak5/read.bin,4096,256,1024,read,26843.5456MB,6490.22MB/s
/users/ak5/read.bin,16384,1,1,read,24677.2695MB,6169.32MB/s
/users/ak5/read.bin,16384,1,4,read,35157.5736MB,8789.39MB/s
/users/ak5/read.bin,16384,1,16,read,37987.2870MB,9496.82MB/s
/users/ak5/read.bin,16384,1,64,read,38297.1412MB,9574.29MB/s
/users/ak5/read.bin,16384,1,256,read,37740.3474MB,9435.09MB/s
/users/ak5/read.bin,16384,1,1024,read,31289.5078MB,7822.38MB/s
/users/ak5/read.bin,16384,4,1,read,26101.6781MB,6525.42MB/s
/users/ak5/read.bin,16384,4,4,read,33839.1204MB,8459.78MB/s
/users/ak5/read.bin,16384,4,16,read,36015.4399MB,9003.86MB/s
/users/ak5/read.bin,16384,4,64,read,36075.2087MB,9018.80MB/s
